age,income,credit_score,loan_amount,loan_term_months,employment_years,num_of_credit_cards,previous_defaults,debt_to_income_ratio,default
59,176921,798,30464,48,36,0,3,0.53,1
38,182932,428,28649,36,13,8,4,0.25,1
24,51585,626,47065,36,26,4,4,0.15,1
45,173087,703,32125,36,22,4,4,0.15,1
34,63585,658,39758,12,13,4,2,0.36,1
29,46958,316,10596,48,39,5,2,0.67,1
46,46017,573,21374,36,3,1,4,0.23,1
22,144677,415,8775,48,38,5,3,0.25,1
40,196422,390,32388,36,18,3,0,0.16,1
48,163273,381,26029,60,3,7,1,0.46,1
67,49426,623,23445,60,29,8,2,0.51,1
27,37778,413,19645,60,18,8,3,0.49,1
64,196313,357,36105,24,30,7,3,0.62,1
28,62229,453,18668,36,30,2,1,0.39,1
67,106652,703,20960,24,8,9,1,0.18,0
55,148267,565,16357,48,12,3,3,0.27,1
34,199436,614,42203,24,13,0,1,0.5,1
37,146503,340,20804,48,9,8,3,0.47,1
56,104878,404,19626,48,30,4,1,0.42,1
60,77056,492,33132,48,36,5,1,0.51,1
24,178562,700,12951,24,22,2,3,0.48,1
22,39975,577,11449,36,26,9,4,0.63,1
26,177795,653,24065,24,5,7,3,0.45,1
62,174351,555,40967,36,25,6,0,0.57,1
24,162633,398,44536,36,1,0,1,0.25,1
49,108397,581,14130,48,12,9,2,0.51,1
38,53142,702,28824,24,18,4,1,0.64,1
46,46916,408,46401,36,0,9,0,0.33,1
64,84324,498,41993,60,39,8,2,0.57,1
54,196037,602,36875,36,31,5,2,0.53,1
30,145932,626,11054,60,21,7,3,0.14,1
56,155720,453,39273,24,28,9,4,0.45,1
34,186205,704,46821,24,1,0,3,0.18,1
51,116059,761,15832,24,39,9,2,0.68,1
68,118317,431,34670,36,37,6,2,0.59,1
35,55046,383,27852,12,10,2,4,0.17,1
28,198136,698,28620,36,16,8,1,0.17,0
34,121459,408,33307,36,7,5,4,0.46,1
43,65893,520,6551,48,21,4,3,0.31,1
60,121520,667,32812,48,3,7,1,0.12,0
41,145818,446,18799,36,10,7,3,0.42,1
36,81272,411,31312,60,7,2,4,0.33,1
65,87649,793,44620,48,8,1,1,0.16,0
38,84674,804,6449,36,25,1,4,0.58,1
67,164832,774,29426,12,1,4,0,0.65,1
44,172999,570,40427,60,15,9,2,0.55,1
46,106475,720,45277,24,30,6,1,0.59,1
45,81367,666,36551,36,5,7,2,0.23,1
65,163660,579,29277,36,20,9,0,0.26,1
61,141750,582,40489,60,25,7,1,0.23,0
49,138154,339,14637,48,18,7,2,0.56,1
35,64738,488,48258,48,27,9,2,0.67,1
65,53397,463,40693,48,7,2,1,0.53,1
21,102189,835,14824,24,13,1,2,0.63,1
45,96367,835,31950,60,23,3,2,0.48,1
27,140585,303,28488,60,36,0,1,0.33,1
29,96619,589,44008,48,25,2,2,0.36,1
44,131453,732,5215,48,30,8,2,0.15,1
21,39816,770,45067,12,31,6,3,0.12,1
64,193312,480,16523,12,1,6,3,0.52,1
28,157348,547,15364,36,24,0,0,0.36,1
44,99530,578,8153,36,1,6,3,0.43,1
31,174571,553,28834,60,0,9,3,0.43,1
37,128856,480,39474,60,35,6,0,0.27,1
28,91635,808,48066,24,11,3,2,0.39,1
55,127803,625,39335,24,8,6,2,0.38,1
55,55946,656,15400,12,35,7,3,0.33,1
53,75204,690,15345,36,27,2,0,0.59,1
25,35563,384,38896,12,37,9,2,0.37,1
62,112324,616,24894,12,32,1,4,0.46,1
59,29847,511,33899,36,21,6,1,0.64,1
61,46155,814,45635,24,24,4,1,0.62,1
48,99671,683,33229,36,17,4,1,0.63,1
27,136891,641,10583,48,5,4,3,0.26,1
29,103310,337,9897,48,17,6,1,0.12,1
28,169381,810,11001,48,15,8,1,0.26,0
32,151691,719,48881,60,14,7,4,0.27,1
54,54707,468,9567,24,7,5,2,0.65,1
53,171409,642,14271,24,12,6,4,0.49,1
68,101537,605,16703,60,6,8,3,0.15,1
43,198686,841,18329,12,16,5,1,0.18,0
44,111155,836,40509,48,31,0,2,0.19,1
57,20281,411,11256,48,21,3,1,0.48,1
55,178492,710,5228,12,12,7,1,0.54,1
64,190102,505,29746,36,22,6,3,0.62,1
60,152130,484,21678,36,28,2,1,0.66,1
42,96260,681,42052,24,21,9,0,0.22,0
47,179476,795,28185,60,0,2,2,0.29,1
55,180928,678,38686,24,28,2,2,0.24,1
21,160272,346,16445,36,4,0,0,0.32,1
55,84178,827,38266,12,34,9,3,0.65,1
57,53997,803,7809,24,9,0,1,0.45,0
67,176683,321,42729,48,18,5,1,0.54,1
34,139273,512,46785,48,36,0,2,0.39,1
23,192307,609,41547,12,6,4,3,0.12,1
21,186129,571,47818,36,34,3,3,0.14,1
25,152311,501,39886,48,12,4,3,0.42,1
46,146945,331,11391,48,9,6,1,0.53,1
34,65272,742,5145,60,1,5,3,0.23,1
59,109393,461,18929,24,5,8,0,0.53,1
47,81212,553,29326,36,7,5,4,0.59,1
29,166470,820,34991,24,35,8,3,0.35,1
35,140030,779,42333,36,24,3,4,0.55,1
35,76503,309,21576,48,39,0,1,0.34,1
46,157710,804,44405,60,6,0,3,0.51,1
62,26570,735,33464,24,22,9,2,0.56,1
33,88785,410,13243,48,18,6,1,0.7,1
52,29110,452,36601,36,21,2,0,0.31,1
59,99141,401,7410,24,12,1,0,0.35,1
69,32115,490,6820,24,20,5,4,0.2,1
52,59062,380,40289,48,0,5,4,0.22,1
24,42911,788,43650,24,18,6,2,0.52,1
50,124061,387,39635,60,32,4,2,0.65,1
57,52556,493,12465,60,3,7,0,0.34,1
43,148335,403,37439,48,2,6,3,0.21,1
59,21969,395,32314,36,26,1,0,0.27,1
65,63753,722,49229,48,34,0,0,0.37,0
35,155542,497,24583,60,27,8,2,0.27,1
63,141863,300,32155,12,5,4,4,0.24,1
49,30225,706,43871,12,5,4,2,0.54,1
56,143008,677,17197,24,22,9,2,0.1,1
33,174268,466,34511,24,32,3,2,0.42,1
52,125823,808,20424,12,15,1,0,0.58,1
27,33669,612,5240,60,23,4,3,0.26,1
42,188452,717,9631,24,4,1,0,0.46,1
48,144398,776,14599,48,12,6,1,0.5,1
22,130677,372,49462,48,11,8,2,0.49,1
62,68320,440,29658,60,4,8,2,0.37,1
65,198486,561,42845,24,36,5,1,0.31,1
26,166649,639,37574,48,30,0,2,0.6,1
48,145354,607,41536,24,27,5,2,0.56,1
48,108009,544,46910,24,27,4,2,0.29,1
64,48625,814,12995,48,29,3,1,0.16,0
64,44089,636,30186,12,17,5,0,0.14,0
40,56487,375,34245,48,26,5,2,0.16,1
50,130448,474,27813,60,34,5,3,0.45,1
31,70138,408,18276,36,25,1,1,0.13,1
48,193895,482,24989,48,38,6,4,0.3,1
45,188280,491,17746,24,17,3,1,0.55,1
59,74061,364,49243,24,32,8,0,0.28,1
53,181731,773,23557,48,24,9,1,0.56,1
21,121376,399,33060,36,30,1,4,0.55,1
47,182962,843,11568,48,36,4,3,0.25,1
33,99134,427,40369,36,1,3,4,0.54,1
61,67055,751,24041,36,32,8,1,0.55,1
23,39508,668,11080,60,38,3,4,0.34,1
59,193359,342,18854,24,31,7,1,0.23,1
26,178056,718,7159,24,17,7,3,0.41,1
28,130169,787,32025,36,16,5,3,0.65,1
47,28125,377,46081,24,33,5,0,0.48,1
29,56059,569,9368,12,38,7,3,0.2,1
57,123409,614,39085,36,6,9,2,0.51,1
53,168159,467,32094,24,34,8,4,0.36,1
62,25704,638,6230,12,29,4,4,0.45,1
64,131279,492,22517,60,11,0,1,0.54,1
44,178280,752,28991,24,34,0,3,0.41,1
35,138516,582,6301,12,10,1,0,0.59,1
52,190954,635,33610,48,3,9,0,0.53,1
52,176995,689,20927,48,24,9,0,0.47,1
44,134044,824,39678,12,31,4,2,0.19,1
61,49165,539,29466,36,19,3,3,0.6,1
69,87203,782,19904,36,30,0,0,0.66,1
69,24114,757,45875,24,3,3,2,0.18,1
32,56321,388,31081,48,37,3,4,0.39,1
59,93297,394,29354,36,0,9,1,0.26,1
22,116652,751,32761,36,2,3,3,0.55,1
23,119304,727,23300,48,36,0,3,0.53,1
69,176498,450,34491,60,21,8,4,0.18,1
57,37772,813,40525,36,16,2,3,0.63,1
69,123754,675,31532,12,13,3,3,0.21,1
37,23712,321,11464,24,34,4,3,0.58,1
69,152439,612,21562,36,12,6,3,0.37,1
22,135142,818,46856,36,34,5,2,0.3,1
22,111736,505,47511,60,1,4,2,0.19,1
48,71924,674,13683,12,12,7,1,0.2,0
43,23726,750,37634,24,15,0,3,0.5,1
57,109152,478,5060,36,17,6,4,0.43,1
52,47723,509,14269,24,6,5,0,0.17,1
53,146969,799,28065,48,35,4,1,0.17,0
21,120494,763,7895,36,29,6,0,0.14,0
39,160180,423,20323,36,6,2,0,0.55,1
22,55643,412,17352,48,14,0,3,0.53,1
64,182396,311,49643,60,39,8,4,0.14,1
46,123896,425,43591,36,18,1,0,0.44,1
52,159999,630,35890,24,36,9,0,0.15,0
26,113680,582,37016,12,1,2,1,0.64,1
52,116546,439,16962,24,12,7,4,0.64,1
24,173515,700,38302,60,39,9,4,0.52,1
31,99973,396,24846,12,30,8,0,0.66,1
37,83449,816,9011,24,15,2,4,0.59,1
58,129834,368,24782,24,5,5,1,0.6,1
44,45537,417,7155,48,27,6,1,0.44,1
25,97576,358,44725,60,31,0,1,0.28,1
54,127522,332,14196,48,9,6,3,0.23,1
26,42612,617,48459,12,17,3,0,0.3,0
42,26471,349,26709,48,3,4,4,0.48,1
31,186703,788,18327,60,8,7,1,0.2,0
68,51348,318,40474,36,6,3,0,0.26,1
36,21177,496,37769,36,7,3,0,0.38,1
53,155832,749,46993,12,6,7,3,0.24,1
29,52779,751,29700,36,39,4,4,0.45,1
26,41636,588,19820,48,2,5,4,0.65,1
36,101889,440,15891,12,16,4,1,0.55,1
49,73551,383,39629,60,1,0,1,0.5,1
23,162628,690,10269,12,14,6,0,0.45,0
40,178670,514,48880,12,28,5,4,0.39,1
56,162635,825,13320,24,21,1,4,0.21,1
39,66819,514,15740,24,3,6,1,0.64,1
46,93770,702,40897,12,5,5,2,0.25,1
23,178038,427,35930,36,37,4,0,0.15,1
39,178059,776,22285,24,25,7,4,0.55,1
40,98714,703,19380,60,10,4,3,0.21,1
52,44596,328,16360,48,25,1,3,0.32,1
27,184246,637,10398,24,16,5,2,0.12,1
61,84106,660,10529,12,23,0,1,0.18,0
53,79182,691,34062,36,27,4,1,0.2,0
60,107163,517,41686,48,34,5,1,0.13,1
59,59310,501,22451,24,30,6,3,0.49,1
38,76088,316,11937,36,12,1,1,0.6,1
60,148803,621,44886,36,34,0,3,0.32,1
21,159978,817,15860,36,15,5,2,0.62,1
31,56914,624,30142,12,14,2,0,0.23,0
48,130350,711,30279,60,17,4,4,0.3,1
45,65379,617,43106,36,36,1,2,0.19,1
43,188722,381,40908,48,26,0,3,0.47,1
51,197953,773,45764,24,34,0,2,0.35,1
50,66413,767,19201,48,34,3,4,0.47,1
62,157084,724,45544,12,27,9,0,0.56,1
55,27151,503,42711,12,38,1,4,0.43,1
27,77716,686,13997,48,37,0,3,0.48,1
36,113747,397,45566,60,8,5,4,0.66,1
46,187450,644,25175,12,11,3,2,0.28,1
68,193724,507,45860,12,14,9,1,0.32,1
69,164539,813,8225,48,20,6,2,0.53,1
22,182082,465,49578,12,34,5,3,0.47,1
21,141999,321,40228,60,32,4,0,0.21,1
68,134793,453,46505,60,18,9,4,0.33,1
32,128177,738,28110,60,22,1,0,0.38,0
25,32289,594,15754,24,12,4,3,0.35,1
57,196048,518,31655,60,0,8,4,0.21,1
52,194668,794,48601,60,28,8,2,0.65,1
29,174243,529,8114,24,23,1,2,0.56,1
61,106365,319,31502,36,15,6,3,0.39,1
55,134014,447,25028,12,24,9,4,0.51,1
39,195211,407,22587,60,22,3,2,0.64,1
68,199785,702,47719,12,27,2,3,0.18,1
36,180806,782,40333,48,15,0,3,0.25,1
23,92588,666,8174,12,37,2,0,0.43,0
40,83646,713,40398,24,10,8,2,0.58,1
44,23654,608,40929,12,2,8,4,0.12,1
53,38743,433,9321,12,14,6,2,0.69,1
44,68368,582,35435,12,0,2,2,0.37,1
31,157513,372,12099,36,6,2,2,0.32,1
69,139735,780,28760,36,0,3,3,0.28,1
28,175683,651,16360,48,31,6,1,0.2,0
56,139891,625,15313,24,8,6,1,0.57,1
58,127971,742,25462,12,28,1,0,0.67,1
60,32149,399,10801,12,25,4,2,0.35,1
40,120102,358,19130,12,22,6,1,0.67,1
55,79189,807,19271,12,28,6,0,0.59,1
68,172747,557,21075,36,37,5,3,0.39,1
45,91031,712,41919,48,32,9,2,0.5,1
55,62668,751,46679,60,6,9,4,0.36,1
45,164745,364,23984,24,11,7,3,0.44,1
49,108204,453,27559,12,30,2,0,0.13,1
38,174741,565,17861,48,31,0,3,0.52,1
66,185140,378,38434,60,19,2,4,0.13,1
38,160507,614,21667,48,16,1,3,0.59,1
22,57384,547,10840,36,35,1,0,0.59,1
55,101929,713,8565,60,2,1,4,0.24,1
36,147959,324,48194,48,0,4,4,0.29,1
61,96153,583,25977,36,26,0,3,0.39,1
56,95388,748,26118,48,39,9,4,0.46,1
53,51401,600,27641,48,32,3,3,0.27,1
24,139503,367,12366,60,19,9,2,0.46,1
53,147834,306,31636,36,13,4,4,0.28,1
34,54084,436,20630,12,35,1,3,0.13,1
41,130641,463,25056,24,4,4,2,0.1,1
68,125111,382,12382,60,22,9,4,0.16,1
40,187523,719,21149,36,14,3,2,0.58,1
28,158299,372,5992,48,5,7,4,0.68,1
27,182982,536,11858,36,32,0,0,0.36,1
23,56041,345,7121,24,18,4,0,0.41,1
37,108920,561,32160,24,12,9,3,0.19,1
53,85681,475,25906,12,28,0,1,0.43,1
68,101571,465,24572,12,5,9,0,0.19,1
32,147556,669,9136,24,14,9,1,0.47,1
42,46160,353,21727,60,15,3,2,0.66,1
42,37633,718,37167,60,23,7,2,0.22,1
66,37014,806,20479,48,22,0,1,0.56,1
50,100532,640,36376,12,9,1,3,0.11,1
58,69104,426,9823,48,16,0,4,0.33,1
58,192693,708,9920,12,29,6,1,0.17,0
65,97231,666,24585,24,9,1,1,0.31,0
28,88388,570,43239,60,18,0,1,0.2,1
47,36014,678,22272,60,28,5,1,0.32,0
47,112578,372,31619,24,1,5,1,0.35,1
54,184827,547,14533,48,35,9,3,0.28,1
41,60390,342,44895,48,18,1,0,0.49,1
50,43711,676,8720,36,6,0,4,0.65,1
53,111658,340,24267,12,25,9,0,0.34,1
48,77993,469,20696,48,14,2,1,0.22,1
67,178285,511,34968,24,37,9,0,0.26,1
53,27421,792,28345,48,2,4,3,0.61,1
25,37727,338,30693,60,37,5,2,0.44,1
68,132418,668,24385,12,15,2,0,0.37,0
39,24358,450,23122,36,1,8,4,0.19,1
24,85108,410,6364,12,30,4,3,0.37,1
55,114018,779,7708,60,27,1,2,0.27,1
69,144457,735,17982,60,6,9,3,0.67,1
37,183189,346,22308,60,29,5,1,0.63,1
64,51910,665,37919,60,6,7,2,0.15,1
48,146888,368,30161,24,35,5,4,0.41,1
50,75754,598,40089,36,28,3,2,0.24,1
49,129847,595,18865,60,23,5,4,0.35,1
66,180443,502,5495,60,38,7,1,0.63,1
26,58467,360,49755,48,3,7,4,0.42,1
55,168697,613,7148,36,28,9,3,0.3,1
61,53893,460,38324,12,4,1,0,0.22,1
57,96329,630,18393,36,28,7,3,0.58,1
44,51007,827,6552,36,29,5,3,0.47,1
49,190604,637,40853,36,28,1,2,0.38,1
69,74253,603,37924,60,25,0,1,0.23,0
66,32323,802,13926,60,18,5,0,0.3,1
51,131335,637,35851,24,25,6,4,0.68,1
55,132356,849,28889,12,36,9,2,0.41,1
53,130944,574,44930,48,26,4,1,0.34,1
41,165282,463,13055,36,29,9,0,0.41,1
52,36456,742,9654,12,29,7,3,0.57,1
43,51367,618,27634,12,2,8,1,0.3,0
53,74624,803,37363,24,6,3,1,0.21,0
23,161178,686,16468,48,8,6,1,0.45,0
38,88008,793,37922,36,12,7,3,0.5,1
45,145926,789,45718,48,14,5,4,0.53,1
62,135395,372,22380,24,4,1,2,0.63,1
51,136492,808,31870,60,28,6,4,0.32,1
23,92240,689,42394,12,34,8,0,0.15,0
60,84315,594,19259,36,26,4,2,0.68,1
66,30756,668,19873,60,26,1,0,0.36,1
44,56378,848,18016,24,7,3,3,0.47,1
52,155327,486,47137,48,31,2,4,0.5,1
67,165556,744,5153,12,19,3,1,0.43,0
42,145703,662,12853,36,9,9,2,0.22,1
43,76549,422,17379,60,12,6,1,0.55,1
22,185575,487,20792,60,28,9,0,0.58,1
47,93794,719,43367,12,34,7,1,0.43,0
62,65113,551,23100,48,7,0,1,0.39,1
22,94069,848,16049,24,28,7,3,0.17,1
46,156321,634,5786,48,30,4,3,0.15,1
37,170273,391,9368,48,29,6,4,0.3,1
60,145541,829,35699,48,21,0,0,0.29,0
53,29686,362,42040,12,20,1,3,0.67,1
29,73363,811,32454,12,11,0,3,0.57,1
63,117543,438,43762,24,10,4,4,0.5,1
68,151733,484,28600,48,1,5,2,0.41,1
59,195915,504,34238,12,1,9,4,0.2,1
49,115673,513,30241,24,33,8,1,0.69,1
62,62828,555,24810,24,2,7,1,0.33,1
46,68604,434,25167,48,15,6,3,0.16,1
55,30526,387,26811,36,3,4,3,0.4,1
45,88910,506,44779,48,22,2,4,0.62,1
44,45592,428,25085,36,19,8,4,0.63,1
33,48982,302,14261,24,24,4,0,0.11,1
27,20207,420,23733,12,29,2,1,0.63,1
56,108733,684,44779,60,17,2,4,0.26,1
65,144982,337,34079,24,10,2,2,0.12,1
40,88619,640,38980,12,28,5,0,0.61,1
21,180400,320,19141,24,16,0,4,0.62,1
28,66479,541,14344,48,25,3,3,0.46,1
66,171175,754,44472,36,22,7,4,0.44,1
36,190963,602,20896,24,19,2,3,0.59,1
34,161826,368,28817,12,1,4,3,0.57,1
32,101437,428,34813,48,23,1,1,0.63,1
43,118540,495,23895,60,30,1,1,0.43,1
35,92982,439,5143,48,26,6,4,0.68,1
48,122747,743,15681,36,1,9,4,0.7,1
54,68231,582,12367,48,13,2,2,0.17,1
22,49301,611,8228,60,3,4,0,0.61,1
52,192395,834,9582,12,12,2,0,0.4,0
43,38752,576,18147,24,35,5,4,0.33,1
42,118452,360,16397,36,34,9,1,0.47,1
45,164467,618,43799,60,7,2,2,0.13,1
42,141237,351,42011,36,1,7,0,0.4,1
42,76273,452,18647,48,5,1,4,0.62,1
69,111878,610,32718,36,30,2,1,0.23,0
62,24895,843,49264,60,9,7,1,0.36,1
26,139968,688,47317,24,20,7,1,0.66,1
35,135700,847,24097,24,9,0,3,0.36,1
63,96559,476,41953,36,22,7,1,0.32,1
57,30699,661,45096,12,2,9,4,0.36,1
53,29715,613,22107,36,31,1,2,0.41,1
28,39169,396,8010,48,19,6,4,0.48,1
64,138413,512,10555,24,9,5,1,0.58,1
64,167235,436,5067,24,28,1,2,0.37,1
25,139264,305,33412,24,33,4,0,0.59,1
59,25782,408,49953,12,36,6,0,0.42,1
24,144481,846,39305,12,19,7,4,0.3,1
26,55585,338,16549,60,7,2,2,0.49,1
65,50682,724,10680,36,6,0,4,0.53,1
52,198936,560,30739,36,5,6,2,0.43,1
50,149992,725,26209,48,10,4,2,0.13,1
67,104416,386,46515,24,17,4,4,0.2,1
55,147810,764,27432,12,28,6,2,0.27,1
60,58067,375,20116,48,24,0,1,0.27,1
36,193757,770,25045,48,20,7,2,0.5,1
33,38073,713,31327,12,2,9,2,0.11,1
62,56035,756,40709,36,17,4,4,0.55,1
50,110373,584,48617,24,23,7,0,0.26,0
39,103362,538,31905,36,37,9,3,0.29,1
37,110517,671,12067,48,9,9,2,0.42,1
39,85450,794,37559,24,26,4,3,0.23,1
48,30382,344,47919,60,11,6,2,0.63,1
46,155509,700,22985,48,6,9,4,0.15,1
57,81929,546,32369,36,16,2,4,0.37,1
46,118864,749,22864,36,0,1,2,0.61,1
43,163401,784,27614,36,25,5,4,0.47,1
29,45169,317,20613,12,14,4,4,0.28,1
32,107468,588,11447,48,32,8,2,0.35,1
21,54594,713,10499,24,36,9,0,0.52,1
21,65033,534,44041,36,30,3,2,0.68,1
67,83133,715,36315,36,34,2,0,0.64,1
54,93861,798,6299,12,0,8,4,0.31,1
52,51750,414,44469,24,7,7,0,0.7,1
68,60461,533,9994,48,11,5,4,0.1,1
45,98222,839,34878,60,18,0,0,0.12,0
60,132020,310,20627,12,24,9,0,0.59,1
65,44226,505,12489,48,31,0,2,0.22,1
21,26721,546,31111,60,11,5,0,0.14,1
36,40609,426,37355,36,12,2,4,0.24,1
59,150513,446,13269,36,27,2,2,0.36,1
25,124211,417,7831,24,0,5,0,0.54,1
42,199967,681,49370,60,5,2,2,0.47,1
49,156728,711,16819,36,7,9,3,0.24,1
23,144865,662,29813,36,3,5,2,0.4,1
32,94520,808,26637,24,4,4,3,0.66,1
46,84309,436,6996,48,24,3,3,0.59,1
36,49984,474,49387,36,21,7,2,0.29,1
57,138947,588,8089,12,27,1,4,0.69,1
42,25901,780,38291,12,38,6,4,0.53,1
49,182624,318,25659,48,22,3,4,0.14,1
34,51055,494,35429,60,3,1,1,0.12,1
48,188757,629,20732,24,3,6,3,0.2,1
25,165788,474,24506,12,20,0,2,0.54,1
67,134099,748,45935,12,36,3,4,0.21,1
69,31138,653,10190,48,1,8,4,0.41,1
50,186370,798,9575,60,6,3,2,0.16,1
66,43429,440,45495,60,15,2,3,0.65,1
25,70200,392,39565,48,16,9,2,0.31,1
32,199316,538,39899,12,19,9,1,0.64,1
36,121268,504,28706,24,22,1,1,0.67,1
46,37347,732,27884,12,33,2,2,0.1,1
46,167992,544,22199,60,10,0,3,0.38,1
68,51822,616,49100,12,33,9,4,0.11,1
41,197731,594,44434,24,32,7,1,0.65,1
59,60108,581,17479,36,25,0,1,0.41,0
56,148955,316,39178,12,1,2,3,0.14,1
53,27967,370,17665,48,22,2,1,0.17,1
50,130719,568,5534,36,21,1,1,0.33,1
57,31871,624,31292,48,33,4,3,0.66,1
43,184685,604,41132,48,14,9,2,0.52,1
30,48179,750,41110,48,9,2,4,0.62,1
25,75099,306,27469,12,14,2,4,0.32,1
56,55262,613,42268,60,28,7,1,0.13,0
54,98213,402,6172,36,22,3,4,0.68,1
51,137407,492,32914,24,16,3,2,0.11,1
30,169340,828,25901,60,8,2,1,0.67,1
39,106269,470,45775,12,35,0,4,0.32,1
52,80545,836,39409,48,8,7,0,0.11,0
21,59922,550,24324,24,15,0,0,0.51,1
25,62913,686,13738,36,35,6,0,0.69,1
65,117033,506,42494,60,32,4,0,0.68,1
24,124792,840,49557,60,30,3,0,0.2,0
36,197404,715,29054,24,5,3,1,0.21,0
44,139863,679,34709,12,9,7,3,0.44,1
36,176104,443,48785,36,15,5,3,0.48,1
22,188918,324,25107,24,3,0,1,0.54,1
69,64936,372,5363,48,21,9,1,0.21,1
48,180866,392,15358,36,12,7,2,0.68,1
52,48141,804,41077,60,15,1,3,0.48,1
47,160146,635,8240,24,28,5,0,0.61,1
40,157478,724,11665,60,5,8,1,0.42,0
44,117359,798,6936,60,25,0,0,0.35,0
32,143279,663,30538,60,10,5,3,0.69,1
55,174363,498,48965,12,23,7,4,0.45,1
53,61568,712,16998,60,28,9,4,0.62,1
53,117539,638,5882,48,2,1,1,0.67,1
63,66851,728,25224,48,9,4,2,0.51,1
57,74823,438,44691,36,0,5,0,0.43,1
32,43312,841,35825,60,25,4,1,0.1,0
23,194180,356,10204,60,11,2,2,0.12,1
21,185243,531,33885,24,13,3,0,0.22,1
53,192851,734,45056,12,24,6,3,0.21,1
60,118723,683,8203,36,7,3,4,0.25,1
30,32411,493,7244,60,3,8,2,0.28,1
63,77009,833,37786,24,27,9,0,0.32,0
64,166494,817,8083,12,6,1,1,0.35,0
49,193540,484,26584,36,9,4,0,0.16,1
33,52371,591,13521,36,35,7,1,0.13,0
32,77022,634,38541,60,1,4,4,0.5,1
51,91229,415,34063,36,25,9,4,0.42,1
66,119071,348,9732,24,13,7,0,0.37,1
22,116774,381,32518,36,15,7,0,0.48,1
55,46715,632,44563,48,16,8,1,0.6,1
43,47605,634,44752,24,21,9,1,0.36,0
37,119853,831,34697,12,3,5,2,0.48,1
46,51174,520,7567,12,18,3,2,0.67,1
28,161028,622,21121,60,1,2,2,0.6,1
49,96373,302,6674,60,38,4,0,0.36,1
46,89252,505,15875,48,8,5,2,0.49,1
30,90017,339,49340,12,18,2,0,0.21,1
46,83037,358,5739,12,15,1,4,0.44,1
54,109818,806,6545,12,24,6,3,0.69,1
61,26548,421,34140,12,17,4,4,0.41,1
27,136981,778,14327,36,22,8,0,0.66,1
24,174249,395,10127,24,20,2,0,0.34,1
65,44022,713,28331,24,10,7,3,0.7,1
31,126297,534,28004,48,38,5,1,0.45,1
49,156614,361,46833,36,3,3,1,0.13,1
56,80428,555,15492,12,24,8,1,0.45,1
45,173812,647,18749,12,31,4,2,0.26,1
41,79353,423,28508,60,29,9,1,0.12,1
56,133132,781,14045,60,25,5,2,0.59,1
30,36052,616,25116,48,35,8,2,0.27,1
57,120689,803,23667,12,33,6,1,0.58,1
29,198148,347,14521,48,8,4,1,0.27,1
44,151743,708,13669,36,11,1,3,0.22,1
55,20163,435,32302,24,1,3,3,0.68,1
69,61424,500,16283,12,37,1,2,0.32,1
55,161706,549,35935,36,4,2,3,0.46,1
68,155870,613,11998,12,4,9,2,0.47,1
56,42420,667,33806,60,21,2,0,0.44,0
38,140575,728,36624,48,4,3,2,0.65,1
69,49300,779,18440,60,3,5,2,0.5,1
59,109881,613,26797,24,8,2,3,0.34,1
52,30749,799,6269,60,28,9,0,0.62,1
44,124131,654,12868,12,21,0,4,0.21,1
